Interaction index,Player index,Opponent index,Repetition,Player name,Opponent name,Actions,Score,Score difference,Turns,Score per turn,Score difference per turn,Win,Initial cooperation,Cooperation count,CC count,CD count,DC count,DD count,CC to C count,CC to D count,CD to C count,CD to D count,DC to C count,DC to D count,DD to C count,DD to D count,Good partner
0,0,0,0,Cooperator,Cooperator,CCCCCCCCCC,-10,0,10,-1.0,0.0,0,True,10,10,0,0,0,9,0,0,0,0,0,0,0,1
0,0,0,0,Cooperator,Cooperator,CCCCCCCCCC,-10,0,10,-1.0,0.0,0,True,10,10,0,0,0,9,0,0,0,0,0,0,0,1
1,0,1,0,Cooperator,Defector,CCCCCCCCCC,-50,-50,10,-5.0,-5.0,0,True,10,0,10,0,0,0,0,9,0,0,0,0,0,1
1,1,0,0,Defector,Cooperator,DDDDDDDDDD,0,50,10,0.0,5.0,1,False,0,0,0,10,0,0,0,0,0,0,9,0,0,0
2,0,2,0,Cooperator,Tit For Tat,CCCCCCCCCC,-10,0,10,-1.0,0.0,0,True,10,10,0,0,0,9,0,0,0,0,0,0,0,1
2,2,0,0,Tit For Tat,Cooperator,CCCCCCCCCC,-10,0,10,-1.0,0.0,0,True,10,10,0,0,0,9,0,0,0,0,0,0,0,1
3,0,3,0,Cooperator,Grudger,CCCCCCCCCC,-10,0,10,-1.0,0.0,0,True,10,10,0,0,0,9,0,0,0,0,0,0,0,1
3,3,0,0,Grudger,Cooperator,CCCCCCCCCC,-10,0,10,-1.0,0.0,0,True,10,10,0,0,0,9,0,0,0,0,0,0,0,1
4,0,4,0,Cooperator,Danai - Random: 0.5,CCCCCCCCCC,-46,-45,10,-4.6,-4.5,0,True,10,1,9,0,0,1,0,8,0,0,0,0,0,1
4,4,0,0,Danai - Random: 0.5,Cooperator,DDDDDDDCDD,-1,45,10,-0.1,4.5,1,False,1,1,0,9,0,0,1,0,0,1,7,0,0,0
5,1,1,0,Defector,Defector,DDDDDDDDDD,-30,0,10,-3.0,0.0,0,False,0,0,0,0,10,0,0,0,0,0,0,0,9,1
5,1,1,0,Defector,Defector,DDDDDDDDDD,-30,0,10,-3.0,0.0,0,False,0,0,0,0,10,0,0,0,0,0,0,0,9,1
6,1,2,0,Defector,Tit For Tat,DDDDDDDDDD,-27,5,10,-2.7,0.5,1,False,0,0,0,1,9,0,0,0,0,0,1,0,8,0
6,2,1,0,Tit For Tat,Defector,CDDDDDDDDD,-32,-5,10,-3.2,-0.5,0,True,1,0,1,0,9,0,0,0,1,0,0,0,8,1
7,1,3,0,Defector,Grudger,DDDDDDDDDD,-27,5,10,-2.7,0.5,1,False,0,0,0,1,9,0,0,0,0,0,1,0,8,0
7,3,1,0,Grudger,Defector,CDDDDDDDDD,-32,-5,10,-3.2,-0.5,0,True,1,0,1,0,9,0,0,0,1,0,0,0,8,1
8,1,4,0,Defector,Danai - Random: 0.5,DDDDDDDDDD,-12,30,10,-1.2,3.0,1,False,0,0,0,6,4,0,0,0,0,0,5,0,4,0
8,4,1,0,Danai - Random: 0.5,Defector,CDDDCDCCCC,-42,-30,10,-4.2,-3.0,0,True,6,0,6,0,4,0,0,3,2,0,0,2,2,1
9,2,2,0,Tit For Tat,Tit For Tat,CCCCCCCCCC,-10,0,10,-1.0,0.0,0,True,10,10,0,0,0,9,0,0,0,0,0,0,0,1
9,2,2,0,Tit For Tat,Tit For Tat,CCCCCCCCCC,-10,0,10,-1.0,0.0,0,True,10,10,0,0,0,9,0,0,0,0,0,0,0,1
10,2,3,0,Tit For Tat,Grudger,CCCCCCCCCC,-10,0,10,-1.0,0.0,0,True,10,10,0,0,0,9,0,0,0,0,0,0,0,1
10,3,2,0,Grudger,Tit For Tat,CCCCCCCCCC,-10,0,10,-1.0,0.0,0,True,10,10,0,0,0,9,0,0,0,0,0,0,0,1
11,2,4,0,Tit For Tat,Danai - Random: 0.5,CDCCDCDDDC,-27,-5,10,-2.7,-0.5,0,True,5,1,4,3,2,1,0,0,3,3,0,0,2,1
11,4,2,0,Danai - Random: 0.5,Tit For Tat,DCCDCDDDCD,-22,5,10,-2.2,0.5,1,False,4,1,3,4,2,0,1,1,2,2,1,1,1,0
12,3,3,0,Grudger,Grudger,CCCCCCCCCC,-10,0,10,-1.0,0.0,0,True,10,10,0,0,0,9,0,0,0,0,0,0,0,1
12,3,3,0,Grudger,Grudger,CCCCCCCCCC,-10,0,10,-1.0,0.0,0,True,10,10,0,0,0,9,0,0,0,0,0,0,0,1
13,3,4,0,Grudger,Danai - Random: 0.5,CCCDDDDDDD,-16,15,10,-1.6,1.5,1,True,3,2,1,4,3,2,0,0,1,0,4,0,2,0
13,4,3,0,Danai - Random: 0.5,Grudger,CCDCCDCCDD,-31,-15,10,-3.1,-1.5,0,True,6,2,4,1,3,1,1,2,2,1,0,1,1,1
14,4,4,0,Danai - Random: 0.5,Danai - Random: 0.5,CCCDDCDDCD,-18,5,10,-1.8,0.5,1,True,5,4,1,2,3,2,2,0,1,0,1,2,1,0
14,4,4,0,Danai - Random: 0.5,Danai - Random: 0.5,CCDCDCDDCC,-23,-5,10,-2.3,-0.5,0,True,6,4,2,1,3,2,2,0,1,1,0,2,1,1
